x,t,u_true,u_pred
1.000000000000000000e+00,6.718750000000000000e-01,-6.161374077606751598e-09,-3.382107242941856384e-04
0.000000000000000000e+00,5.234375000000000000e-01,0.000000000000000000e+00,-3.227777779102325439e-05
0.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00,2.839388325810432434e-04
0.000000000000000000e+00,7.734375000000000000e-01,0.000000000000000000e+00,-3.472054377198219299e-04
1.000000000000000000e+00,9.375000000000000000e-02,-6.037926425506157102e-08,-2.039056271314620972e-04
0.000000000000000000e+00,2.187500000000000000e-01,0.000000000000000000e+00,-1.392420381307601929e-05
0.000000000000000000e+00,7.812500000000000000e-02,0.000000000000000000e+00,-1.927288249135017395e-04
1.000000000000000000e+00,3.125000000000000000e-01,-2.545864141723086504e-08,3.649936988949775696e-04
1.000000000000000000e+00,4.843750000000000000e-01,-1.291668816350011184e-08,2.053556963801383972e-04
1.000000000000000000e+00,9.843750000000000000e-01,-1.794271842214811841e-09,7.000165060162544250e-04
1.000000000000000000e+00,2.343750000000000000e-01,-3.465633113819421851e-08,1.282617449760437012e-04
1.000000000000000000e+00,6.484375000000000000e-01,-6.758677173479554767e-09,-2.980623394250869751e-04
0.000000000000000000e+00,1.562500000000000000e-01,0.000000000000000000e+00,-1.974124461412429810e-04
0.000000000000000000e+00,2.968750000000000000e-01,0.000000000000000000e+00,2.144444733858108521e-04
0.000000000000000000e+00,7.968750000000000000e-01,0.000000000000000000e+00,-2.832189202308654785e-04
0.000000000000000000e+00,7.656250000000000000e-01,0.000000000000000000e+00,-3.642328083515167236e-04
0.000000000000000000e+00,9.531250000000000000e-01,0.000000000000000000e+00,6.891516968607902527e-04
1.000000000000000000e+00,5.625000000000000000e-01,-9.488636543153461389e-09,-5.711521953344345093e-05
0.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00,1.781312748789787292e-04
1.000000000000000000e+00,1.484375000000000000e-01,-4.865468383741244907e-08,-1.549357548356056213e-04
1.000000000000000000e+00,7.343750000000000000e-01,-4.814150855736443191e-09,-3.735171630978584290e-04
0.000000000000000000e+00,3.984375000000000000e-01,0.000000000000000000e+00,2.666320651769638062e-04
0.000000000000000000e+00,3.906250000000000000e-01,0.000000000000000000e+00,2.742530778050422668e-04
0.000000000000000000e+00,8.593750000000000000e-02,0.000000000000000000e+00,-2.106679603457450867e-04
0.000000000000000000e+00,1.171875000000000000e-01,0.000000000000000000e+00,-2.414593473076820374e-04
1.000000000000000000e+00,8.281250000000000000e-01,-3.324932551507231437e-09,-1.986315473914146423e-04
1.000000000000000000e+00,6.875000000000000000e-01,-5.792794244285914829e-09,-3.574760630726814270e-04
0.000000000000000000e+00,4.687500000000000000e-01,0.000000000000000000e+00,1.297770068049430847e-04
1.000000000000000000e+00,4.531250000000000000e-01,-1.461268617219957378e-08,2.957126125693321228e-04
1.000000000000000000e+00,2.734375000000000000e-01,-2.970358892184776778e-08,2.644928172230720520e-04
1.000000000000000000e+00,8.984375000000000000e-01,-2.519012110013818528e-09,1.169666647911071777e-04
