x,y,t,u_true,u_pred
1.000000000000000000e+00,5.000000000000000000e-01,3.046875000000000000e-01,-4.938121023201347271e-08,3.750707022845745087e-03
0.000000000000000000e+00,5.000000000000000000e-01,6.855468750000000000e-01,0.000000000000000000e+00,-2.858311869204044342e-03
5.000000000000000000e-01,1.000000000000000000e+00,2.460937500000000000e-01,5.409466652395167330e-09,2.038925886154174805e-04
5.000000000000000000e-01,0.000000000000000000e+00,8.906250000000000000e-01,-0.000000000000000000e+00,7.961792871356010437e-04
7.500000000000000000e-01,0.000000000000000000e+00,7.968750000000000000e-01,-0.000000000000000000e+00,8.079959079623222351e-04
2.500000000000000000e-01,1.000000000000000000e+00,6.210937500000000000e-01,4.807264986084192060e-08,2.594876103103160858e-03
0.000000000000000000e+00,2.500000000000000000e-01,5.078125000000000000e-01,-0.000000000000000000e+00,-3.050675615668296814e-03
1.000000000000000000e+00,7.500000000000000000e-01,6.933593750000000000e-01,-5.064069696913975349e-08,-6.816433742642402649e-04
1.000000000000000000e+00,2.500000000000000000e-01,3.828125000000000000e-01,1.653911141374919680e-08,2.511086873710155487e-03
0.000000000000000000e+00,7.500000000000000000e-01,8.652343750000000000e-01,0.000000000000000000e+00,6.600068882107734680e-04
7.500000000000000000e-01,1.000000000000000000e+00,2.734375000000000000e-01,-5.649838641375026782e-08,-1.339902170002460480e-03
2.500000000000000000e-01,0.000000000000000000e+00,5.468750000000000000e-01,0.000000000000000000e+00,-2.548494376242160797e-03
3.750000000000000000e-01,0.000000000000000000e+00,4.726562500000000000e-01,-0.000000000000000000e+00,7.454921491444110870e-03
6.250000000000000000e-01,1.000000000000000000e+00,5.976562500000000000e-01,-1.209939970436835210e-08,5.163652822375297546e-04
0.000000000000000000e+00,6.250000000000000000e-01,9.355468750000000000e-01,-0.000000000000000000e+00,3.250641748309135437e-04
1.000000000000000000e+00,3.750000000000000000e-01,7.109375000000000000e-01,-7.960116477079282049e-08,-1.959951594471931458e-03
1.000000000000000000e+00,8.750000000000000000e-01,2.929687500000000000e-02,-8.896813952219417843e-09,2.786116674542427063e-04
0.000000000000000000e+00,1.250000000000000000e-01,3.515625000000000000e-01,-0.000000000000000000e+00,3.008568193763494492e-03
1.250000000000000000e-01,1.000000000000000000e+00,2.617187500000000000e-01,-1.977164743038883898e-08,5.285828374326229095e-03
8.750000000000000000e-01,0.000000000000000000e+00,2.167968750000000000e-01,-0.000000000000000000e+00,1.893882639706134796e-03
