x,y,z,t,u_true,u_pred
1.875000000000000000e-01,3.125000000000000000e-01,1.000000000000000000e+00,1.718750000000000000e-01,-5.615392950630848645e-08,8.996977703645825386e-05
3.125000000000000000e-01,1.875000000000000000e-01,1.000000000000000000e+00,6.406250000000000000e-01,2.799124843022582354e-08,6.363821739796549082e-05
4.375000000000000000e-01,5.625000000000000000e-01,0.000000000000000000e+00,2.968750000000000000e-01,0.000000000000000000e+00,1.489262212999165058e-04
7.500000000000000000e-01,1.000000000000000000e+00,2.500000000000000000e-01,8.593750000000000000e-02,-6.829532139818184078e-08,4.609051393344998360e-05
1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,5.937500000000000000e-01,2.057021930568225798e-08,-4.173553315922617912e-05
1.250000000000000000e-01,0.000000000000000000e+00,6.250000000000000000e-01,6.718750000000000000e-01,-0.000000000000000000e+00,1.104197581298649311e-04
1.000000000000000000e+00,9.375000000000000000e-01,6.250000000000000000e-02,5.859375000000000000e-01,1.438666741293559426e-09,4.803045885637402534e-05
1.250000000000000000e-01,1.000000000000000000e+00,6.250000000000000000e-01,6.171875000000000000e-01,1.803332061456330848e-08,-5.696871085092425346e-05
9.375000000000000000e-01,6.250000000000000000e-02,0.000000000000000000e+00,4.843750000000000000e-01,0.000000000000000000e+00,2.121314173564314842e-05
1.875000000000000000e-01,0.000000000000000000e+00,3.125000000000000000e-01,2.812500000000000000e-01,0.000000000000000000e+00,1.066851546056568623e-04
1.000000000000000000e+00,8.750000000000000000e-01,8.750000000000000000e-01,7.187500000000000000e-01,1.316686493169072492e-08,-1.044356031343340874e-05
9.375000000000000000e-01,6.250000000000000000e-02,1.000000000000000000e+00,6.562500000000000000e-01,2.542745569655835425e-09,2.331216819584369659e-07
8.750000000000000000e-01,8.750000000000000000e-01,0.000000000000000000e+00,5.468750000000000000e-01,-0.000000000000000000e+00,6.125337677076458931e-05
6.875000000000000000e-01,0.000000000000000000e+00,8.125000000000000000e-01,9.843750000000000000e-01,-0.000000000000000000e+00,3.085128264501690865e-05
6.250000000000000000e-02,0.000000000000000000e+00,9.375000000000000000e-01,8.437500000000000000e-01,-0.000000000000000000e+00,5.927059100940823555e-05
2.500000000000000000e-01,7.500000000000000000e-01,0.000000000000000000e+00,7.109375000000000000e-01,-0.000000000000000000e+00,-4.876655293628573418e-05
4.375000000000000000e-01,5.625000000000000000e-01,1.000000000000000000e+00,6.093750000000000000e-01,4.592833846572830225e-08,2.668827073648571968e-05
2.500000000000000000e-01,0.000000000000000000e+00,7.500000000000000000e-01,3.906250000000000000e-01,0.000000000000000000e+00,1.529447035863995552e-05
3.125000000000000000e-01,1.000000000000000000e+00,1.875000000000000000e-01,9.687500000000000000e-01,6.515292483300072490e-08,7.111608283594250679e-05
0.000000000000000000e+00,9.375000000000000000e-01,6.250000000000000000e-02,3.125000000000000000e-02,0.000000000000000000e+00,1.106671406887471676e-04
1.000000000000000000e+00,3.125000000000000000e-01,1.875000000000000000e-01,3.984375000000000000e-01,-2.053616476871411578e-08,9.996606968343257904e-05
0.000000000000000000e+00,6.875000000000000000e-01,8.125000000000000000e-01,6.250000000000000000e-02,0.000000000000000000e+00,1.035628956742584705e-04
0.000000000000000000e+00,8.125000000000000000e-01,6.875000000000000000e-01,2.500000000000000000e-01,0.000000000000000000e+00,-2.785556716844439507e-05
6.875000000000000000e-01,8.125000000000000000e-01,0.000000000000000000e+00,8.906250000000000000e-01,-0.000000000000000000e+00,-8.064031135290861130e-06
1.000000000000000000e+00,5.625000000000000000e-01,4.375000000000000000e-01,7.656250000000000000e-01,1.010141730262148485e-07,-1.287617487832903862e-05
2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000000e+00,3.125000000000000000e-01,-3.936894543699054339e-08,-1.879938645288348198e-05
8.750000000000000000e-01,1.000000000000000000e+00,8.750000000000000000e-01,8.750000000000000000e-01,1.917516812000030768e-08,4.199362592771649361e-05
0.000000000000000000e+00,8.750000000000000000e-01,8.750000000000000000e-01,5.312500000000000000e-01,-0.000000000000000000e+00,5.963101284578442574e-05
7.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,7.812500000000000000e-02,0.000000000000000000e+00,6.367295281961560249e-05
6.875000000000000000e-01,1.000000000000000000e+00,8.125000000000000000e-01,5.156250000000000000e-01,3.212374366512449342e-09,5.894183414056897163e-05
1.250000000000000000e-01,6.250000000000000000e-01,0.000000000000000000e+00,3.437500000000000000e-01,0.000000000000000000e+00,2.344719250686466694e-04
9.375000000000000000e-01,1.000000000000000000e+00,6.250000000000000000e-02,2.187500000000000000e-01,-4.169669498566008770e-09,1.038129557855427265e-04
8.125000000000000000e-01,1.000000000000000000e+00,6.875000000000000000e-01,5.625000000000000000e-01,1.277220373907539397e-08,1.125720445998013020e-04
6.250000000000000000e-01,1.000000000000000000e+00,1.250000000000000000e-01,8.984375000000000000e-01,4.757816896017175168e-08,-1.196906669065356255e-05
3.750000000000000000e-01,3.750000000000000000e-01,1.000000000000000000e+00,7.968750000000000000e-01,9.716353588373749517e-08,7.681112037971615791e-05
0.000000000000000000e+00,5.625000000000000000e-01,4.375000000000000000e-01,6.875000000000000000e-01,-0.000000000000000000e+00,5.412130849435925484e-05
2.500000000000000000e-01,1.000000000000000000e+00,7.500000000000000000e-01,3.281250000000000000e-01,-3.643046397883153986e-08,3.973237471655011177e-05
6.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,7.812500000000000000e-01,-0.000000000000000000e+00,-2.062105340883135796e-05
1.000000000000000000e+00,8.125000000000000000e-01,6.875000000000000000e-01,2.734375000000000000e-01,-4.276201792663414381e-08,9.459891589358448982e-05
0.000000000000000000e+00,2.500000000000000000e-01,7.500000000000000000e-01,2.343750000000000000e-02,0.000000000000000000e+00,1.347475335933268070e-04
1.000000000000000000e+00,3.750000000000000000e-01,3.750000000000000000e-01,9.218750000000000000e-01,1.173440864477015566e-07,-2.993241650983691216e-05
1.000000000000000000e+00,4.375000000000000000e-01,5.625000000000000000e-01,4.687500000000000000e-02,-1.348548295254659024e-07,1.060201902873814106e-04
1.250000000000000000e-01,6.250000000000000000e-01,1.000000000000000000e+00,7.734375000000000000e-01,3.794158587311358133e-08,9.430397767573595047e-06
6.250000000000000000e-01,1.250000000000000000e-01,1.000000000000000000e+00,9.531250000000000000e-01,4.956483579121595540e-08,-1.526539563201367855e-06
8.750000000000000000e-01,0.000000000000000000e+00,8.750000000000000000e-01,2.031250000000000000e-01,0.000000000000000000e+00,1.566021819598972797e-04
0.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.562500000000000000e-02,0.000000000000000000e+00,1.462615909986197948e-04
6.250000000000000000e-02,9.375000000000000000e-01,0.000000000000000000e+00,4.218750000000000000e-01,0.000000000000000000e+00,1.742134918458759785e-04
8.750000000000000000e-01,8.750000000000000000e-01,1.000000000000000000e+00,4.687500000000000000e-01,-2.034350687907249267e-09,9.093276457861065865e-05
6.250000000000000000e-02,1.000000000000000000e+00,9.375000000000000000e-01,5.234375000000000000e-01,3.968122497255421877e-10,9.033485548570752144e-05
1.000000000000000000e+00,1.250000000000000000e-01,6.250000000000000000e-01,6.484375000000000000e-01,2.252875219710404053e-08,6.079877493903040886e-05
0.000000000000000000e+00,3.750000000000000000e-01,3.750000000000000000e-01,1.484375000000000000e-01,0.000000000000000000e+00,1.418676110915839672e-04
4.375000000000000000e-01,1.000000000000000000e+00,5.625000000000000000e-01,2.343750000000000000e-01,-1.010141588153601333e-07,3.217376070097088814e-05
0.000000000000000000e+00,6.250000000000000000e-02,9.375000000000000000e-01,1.093750000000000000e-01,0.000000000000000000e+00,-1.805776264518499374e-06
3.750000000000000000e-01,1.000000000000000000e+00,3.750000000000000000e-01,5.781250000000000000e-01,2.939316701144889521e-08,-3.685959381982684135e-05
3.750000000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,8.359375000000000000e-01,-0.000000000000000000e+00,4.464975791051983833e-05
6.250000000000000000e-01,1.250000000000000000e-01,0.000000000000000000e+00,6.250000000000000000e-01,-0.000000000000000000e+00,2.941332058981060982e-05
0.000000000000000000e+00,4.375000000000000000e-01,5.625000000000000000e-01,1.171875000000000000e-01,0.000000000000000000e+00,2.030234900303184986e-04
5.625000000000000000e-01,4.375000000000000000e-01,1.000000000000000000e+00,9.609375000000000000e-01,1.353051288788265083e-07,1.633755164220929146e-05
3.125000000000000000e-01,0.000000000000000000e+00,1.875000000000000000e-01,4.531250000000000000e-01,0.000000000000000000e+00,9.545433567836880684e-05
8.125000000000000000e-01,0.000000000000000000e+00,6.875000000000000000e-01,1.562500000000000000e-01,0.000000000000000000e+00,1.897912588901817799e-04
9.375000000000000000e-01,0.000000000000000000e+00,6.250000000000000000e-02,4.375000000000000000e-01,0.000000000000000000e+00,1.799739548005163670e-04
0.000000000000000000e+00,1.250000000000000000e-01,6.250000000000000000e-01,9.375000000000000000e-01,-0.000000000000000000e+00,-5.777151091024279594e-05
8.125000000000000000e-01,6.875000000000000000e-01,1.000000000000000000e+00,8.593750000000000000e-01,5.918251488878922828e-08,-1.049757702276110649e-05
1.000000000000000000e+00,6.875000000000000000e-01,8.125000000000000000e-01,4.062500000000000000e-01,-1.900440160795824340e-08,1.475862809456884861e-04
1.000000000000000000e+00,6.250000000000000000e-02,9.375000000000000000e-01,9.062500000000000000e-01,5.161799432329416959e-09,-2.231856342405080795e-06
1.875000000000000000e-01,1.000000000000000000e+00,3.125000000000000000e-01,7.500000000000000000e-01,4.629298544500670687e-08,3.067060606554150581e-05
3.125000000000000000e-01,1.875000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,1.853334833867847919e-04
1.000000000000000000e+00,2.500000000000000000e-01,7.500000000000000000e-01,7.031250000000000000e-01,4.221258365078028874e-08,1.077436027117073536e-04
0.000000000000000000e+00,1.875000000000000000e-01,3.125000000000000000e-01,2.656250000000000000e-01,0.000000000000000000e+00,9.022519225254654884e-05
6.250000000000000000e-02,9.375000000000000000e-01,1.000000000000000000e+00,3.750000000000000000e-01,-2.064219906117159553e-09,-2.621178282424807549e-05
5.625000000000000000e-01,0.000000000000000000e+00,4.375000000000000000e-01,8.125000000000000000e-01,-0.000000000000000000e+00,6.913609104230999947e-05
6.875000000000000000e-01,8.125000000000000000e-01,1.000000000000000000e+00,2.109375000000000000e-01,-5.161158611599603319e-08,1.948166755028069019e-04
1.000000000000000000e+00,6.250000000000000000e-01,1.250000000000000000e-01,1.406250000000000000e-01,-4.529634622940648114e-08,8.330476703122258186e-05
